epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,9761.49,0.71314,0.96107,1.27784,0.44389,0.3787,0.3982,0.29972,1.10701,2.00431,1.73427,0.00683601,0.00683601,0.00683601
155,9818.72,0.71328,0.90292,1.27215,0.43475,0.43044,0.41478,0.30974,1.10565,1.99888,1.72614,0.0067997,0.0067997,0.0067997
156,9916.42,0.70473,0.88546,1.27062,0.42763,0.43209,0.40506,0.30362,1.10062,1.99615,1.72386,0.00676328,0.00676328,0.00676328
157,9977.28,0.70556,0.90293,1.26346,0.40823,0.43394,0.41762,0.31077,1.09987,1.97822,1.72878,0.00672675,0.00672675,0.00672675
158,10037.8,0.68779,0.89897,1.26461,0.41739,0.42706,0.41131,0.30591,1.10568,1.98653,1.7281,0.00669012,0.00669012,0.00669012
159,10095.3,0.6949,0.87606,1.26559,0.42334,0.42083,0.41641,0.30825,1.1126,1.97757,1.73479,0.00665339,0.00665339,0.00665339
160,10153.2,0.68513,0.83168,1.25755,0.46833,0.43604,0.42813,0.31581,1.11979,1.99342,1.73899,0.00661656,0.00661656,0.00661656
161,10212.1,0.68104,0.84457,1.24002,0.44595,0.43999,0.42756,0.31528,1.12605,2.03643,1.75276,0.00657963,0.00657963,0.00657963
162,10271.1,0.68609,0.83785,1.24305,0.45637,0.43742,0.42717,0.31579,1.12007,2.03449,1.75075,0.00654261,0.00654261,0.00654261
163,10328.9,0.681,0.82058,1.24476,0.47228,0.41382,0.42624,0.31747,1.12185,2.01038,1.74884,0.0065055,0.0065055,0.0065055
164,10387.2,0.67304,0.78927,1.23787,0.45399,0.41512,0.42501,0.31581,1.11388,2.03276,1.74762,0.0064683,0.0064683,0.0064683
165,10445.5,0.68594,0.82843,1.24772,0.39853,0.45166,0.42903,0.31896,1.10009,2.03628,1.72762,0.00643101,0.00643101,0.00643101
166,10503.7,0.67993,0.82674,1.24783,0.41681,0.43726,0.42733,0.31647,1.10397,2.06194,1.73317,0.00639363,0.00639363,0.00639363
167,10562.3,0.67313,0.78376,1.23522,0.41233,0.43109,0.42041,0.31327,1.10227,2.05662,1.7414,0.00635617,0.00635617,0.00635617
168,10620.8,0.66797,0.75877,1.23349,0.41264,0.42632,0.41199,0.30731,1.10076,2.06307,1.73671,0.00631863,0.00631863,0.00631863
169,10679.1,0.66674,0.78332,1.22996,0.40136,0.45631,0.42041,0.30911,1.09328,2.05864,1.73195,0.00628101,0.00628101,0.00628101
170,10737.5,0.65542,0.75089,1.22014,0.40437,0.44784,0.42294,0.31323,1.09688,2.05513,1.73505,0.00624332,0.00624332,0.00624332
171,10795.9,0.65925,0.78632,1.22772,0.43695,0.42339,0.41663,0.30812,1.09573,2.07332,1.73113,0.00620555,0.00620555,0.00620555
172,10854.7,0.64786,0.73912,1.21882,0.44424,0.42311,0.41778,0.30892,1.1027,2.08248,1.7379,0.00616772,0.00616772,0.00616772
173,10913.4,0.66295,0.76378,1.22865,0.43816,0.424,0.41706,0.30562,1.10096,2.08456,1.7449,0.00612981,0.00612981,0.00612981
174,10995.3,0.65756,0.75741,1.22159,0.39458,0.44199,0.42092,0.30783,1.10623,2.08519,1.75003,0.00609184,0.00609184,0.00609184
175,11140.1,0.65384,0.74655,1.21254,0.4205,0.43305,0.41753,0.30726,1.10273,2.10301,1.74767,0.0060538,0.0060538,0.0060538
176,11281.1,0.66236,0.73361,1.21865,0.42054,0.41869,0.41567,0.3061,1.11025,2.09109,1.75741,0.0060157,0.0060157,0.0060157
177,11432.4,0.65356,0.74687,1.21668,0.41022,0.41797,0.4175,0.30596,1.11262,2.1115,1.76864,0.00597754,0.00597754,0.00597754
